"campaignid","sample","family","genus","species"
"2014-12_Geographe.Bay_stereoBRUVs","28","Mullidae","Upeneichthys","lineatus"
"2014-12_Geographe.Bay_stereoBRUVs","28","Serranidae","Caesioperca","sp."
"2014-12_Geographe.Bay_stereoBRUVs","295","Carcharhinidae","Carcharhinus","sp1"
"2014-12_Geographe.Bay_stereoBRUVs","33","Carangidae","Seriolina","nigrofasciata"
"2014-12_Geographe.Bay_stereoBRUVs","583","Exocoetidae","Cypselurus","angusticeps"
"2014-12_Geographe.Bay_stereoBRUVs","583","Monacanthidae","Paramonacanthus","otisensis"
"2014-12_Geographe.Bay_stereoBRUVs","684","Mullidae","Upeneichthys","lineatus"
"2014-12_Geographe.Bay_stereoBRUVs","711","Terapontidae","Pelates","sexlineatus"
"2014-12_Geographe.Bay_stereoBRUVs","75","Terapontidae","Pelates","sexlineatus"
"2014-12_Geographe.Bay_stereoBRUVs","77","Serranidae","Caesioperca","sp."
"2014-12_Geographe.Bay_stereoBRUVs","858","Rhinobatidae","Trygonorrhina","fasciata"
"2014-12_Geographe.Bay_stereoBRUVs","98","Serranidae","Caesioperca","sp."
"2014-12_Geographe.Bay_stereoBRUVs","GBR1-3","Exocoetidae","Cypselurus","angusticeps"
